Route_name,Bus_name,Bus_type,Duration,Ratings,Seats_Available,Price,Departing_time,Reaching_Time,Route_link
Vijayawada to Hyderabad,TSRTC - 9934,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",07h 10m,3.9,33 Seats available,396.0,10:10,17:20,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 1892,RAJDHANI (A.C. Semi Sleeper),05h 55m,2.5,25 Seats available,480.0,10:20,16:15,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 1464,RAJDHANI (A.C. Semi Sleeper),06h 10m,2.1,28 Seats available,480.0,10:40,16:50,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 1805,RAJADHANI AC (CONVERTED METRO LUXURY),05h 55m,3.0,27 Seats available,480.0,11:45,17:40,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 1582,RAJDHANI (A.C. Semi Sleeper),04h 30m,3.1,27 Seats available,480.0,12:10,16:40,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 1468,RAJDHANI (A.C. Semi Sleeper),04h 30m,2.7,21 Seats available,480.0,12:40,17:10,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 9945,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06h 10m,2.7,26 Seats available,396.0,13:00,19:10,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 18762,eGARUDA,06h 20m,3.5,7 Seats available,533.0,13:30,19:50,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 40331,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04h 50m,3.3,18 Seats available,396.0,13:40,18:30,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 1600,RAJDHANI (A.C. Semi Sleeper),05h 40m,2.7,10 Seats available,480.0,14:00,19:40,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 1432,RAJDHANI (A.C. Semi Sleeper),04h 55m,2.1,12 Seats available,480.0,14:20,19:15,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 40562,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06h 10m,3.3,18 Seats available,396.0,14:50,21:00,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 30162,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),06h 00m,3.9,3 Seats available,533.0,15:00,21:00,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 98274,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06h 10m,0.0,33 Seats available,660.0,15:00,21:10,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 40531,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05h 35m,4.4,21 Seats available,396.0,15:15,20:50,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 30362,RAJDHANI (A.C. Semi Sleeper),06h 30m,2.9,1 Seat available,480.0,15:30,22:00,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 12962,eGARUDA,06h 10m,3.7,5 Seats available,533.0,16:00,22:10,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 40762,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06h 10m,2.7,11 Seats available,396.0,16:10,22:20,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 1344,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),05h 55m,3.4,5 Seats available,533.0,16:40,22:35,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 40731,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04h 40m,4.1,17 Seats available,396.0,17:10,21:50,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 30562,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),05h 40m,3.6,5 Seats available,533.0,17:20,23:00,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 40962,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04h 50m,3.7,13 Seats available,396.0,17:50,22:40,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 7663,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05h 30m,4.2,19 Seats available,396.0,18:05,23:35,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 30762,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),04h 30m,3.6,2 Seats available,533.0,18:20,22:50,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 7772,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06h 15m,3.4,31 Seats available,560.0,18:30,00:45,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 41162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06h 10m,4.7,28 Seats available,396.0,18:50,01:00,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 1592,RAJADHANI AC (CONVERTED METRO LUXURY),05h 35m,1.9,17 Seats available,480.0,19:00,00:35,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 41131,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05h 30m,3.6,33 Seats available,396.0,19:10,00:40,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 41110,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06h 10m,3.5,26 Seats available,396.0,19:30,01:40,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,TSRTC - 30962,RAJDHANI (A.C. Semi Sleeper),06h 30m,2.5,14 Seats available,480.0,19:30,02:00,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),06h 15m,4.7,23 Seats available,1457.0,23:45,06:00,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),07h 00m,4.7,19 Seats available,1432.0,23:25,06:25,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),06h 55m,4.7,19 Seats available,1519.0,16:20,23:15,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
